id,event,path,lineno,caller_path,caller_lineno,owner_with_name,hierarchy
2360,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,21,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,8,ActiveRecord::RuntimeRegistry.sql_runtime=,38
2361,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/per_thread_registry.rb,46,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,21,ActiveSupport::PerThreadRegistry.instance,39
2362,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/per_thread_registry.rb,48,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,21,ActiveSupport::PerThreadRegistry.instance,39
2363,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,21,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,8,ActiveRecord::RuntimeRegistry.sql_runtime=,38
2364,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,9,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,16,ActiveRecord::LogSubscriber.runtime=,37
2365,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,18,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/railties/controller_runtime.rb,43,ActiveRecord::LogSubscriber.reset_runtime,36
2366,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/railties/controller_runtime.rb,45,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/metal/instrumentation.rb,38,ActiveRecord::Railties::ControllerRuntime#append_info_to_payload,35
2367,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/notifications/instrumenter.rb,43,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/notifications/instrumenter.rb,29,ActiveSupport::Notifications::Instrumenter#finish_with_state,35
2368,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/notifications/fanout.rb,47,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/notifications/instrumenter.rb,44,ActiveSupport::Notifications::Fanout#finish,36
2369,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/notifications/fanout.rb,103,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/notifications/fanout.rb,48,ActiveSupport::Notifications::Fanout::Subscribers::Evented#finish,37
2370,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/log_subscriber.rb,83,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/notifications/fanout.rb,104,ActiveSupport::LogSubscriber#finish,38
2371,call,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,72,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/log_subscriber.rb,84,ActionController::LogSubscriber#logger,39
2372,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,73,ActionController::Base.logger,40
2373,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,30,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,ActiveSupport::Configurable::ClassMethods.config,41
2374,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,37,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,ActiveSupport::Configurable::ClassMethods.config,41
2375,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,23,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,0x00007f817f491710#logger,41
2376,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,23,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,0x00007f817f491710#logger,41
2377,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,73,ActionController::Base.logger,40
2378,return,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,74,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/log_subscriber.rb,84,ActionController::LogSubscriber#logger,39
2379,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,94,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/log_subscriber.rb,84,ActiveSupport::LogSubscriber#finish,39
2380,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,110,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,95,ActiveSupport::Subscriber#now,40
2381,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,112,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,95,ActiveSupport::Subscriber#now,40
2382,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,106,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,96,ActiveSupport::Subscriber#event_stack,40
2383,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/per_thread_registry.rb,46,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,107,ActiveSupport::PerThreadRegistry.instance,41
2384,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/per_thread_registry.rb,48,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,107,ActiveSupport::PerThreadRegistry.instance,41
2385,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,126,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,107,ActiveSupport::SubscriberQueueRegistry#get_queue,41
2386,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,128,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,107,ActiveSupport::SubscriberQueueRegistry#get_queue,41
2387,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,108,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,96,ActiveSupport::Subscriber#event_stack,40
2388,call,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,19,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/subscriber.rb,101,ActionController::LogSubscriber#process_action,40
2389,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/log_subscriber.rb,95,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,20,ActiveSupport::LogSubscriber#info,41
2390,call,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,72,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/log_subscriber.rb,96,ActionController::LogSubscriber#logger,42
2391,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,73,ActionController::Base.logger,43
2392,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,30,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,ActiveSupport::Configurable::ClassMethods.config,44
2393,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,37,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,ActiveSupport::Configurable::ClassMethods.config,44
2394,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,23,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,0x00007f817f491710#logger,44
2395,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,23,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,0x00007f817f491710#logger,44
2396,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,73,ActionController::Base.logger,43
2397,return,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,74,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/log_subscriber.rb,96,ActionController::LogSubscriber#logger,42
2398,call,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,72,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/log_subscriber.rb,96,ActionController::LogSubscriber#logger,42
2399,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,73,ActionController::Base.logger,43
2400,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,30,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,ActiveSupport::Configurable::ClassMethods.config,44
2401,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,37,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,ActiveSupport::Configurable::ClassMethods.config,44
2402,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,23,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,0x00007f817f491710#logger,44
2403,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,23,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,0x00007f817f491710#logger,44
2404,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/configurable.rb,115,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,73,ActionController::Base.logger,43
2405,return,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/log_subscriber.rb,74,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/log_subscriber.rb,96,ActionController::LogSubscriber#logger,42
2406,call,/Users/yhirano/.rbenv/versions/2.6.3/lib/ruby/2.6.0/logger.rb,524,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/log_subscriber.rb,96,Logger#info,42
2407,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/logger.rb,26,/Users/yhirano/.rbenv/versions/2.6.3/lib/ruby/2.6.0/logger.rb,525,#<Module:0x00007f817f4bb448>#add,43
2408,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/logger.rb,87,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/logger.rb,27,ActiveSupport::Logger#add,44
2409,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/logger_thread_safe_level.rb,29,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/logger.rb,88,ActiveSupport::LoggerThreadSafeLevel#level,45
2410,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/logger_thread_safe_level.rb,17,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/logger_thread_safe_level.rb,30,ActiveSupport::LoggerThreadSafeLevel#local_level,46
2411,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/logger_thread_safe_level.rb,13,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/logger_thread_safe_level.rb,18,ActiveSupport::LoggerThreadSafeLevel#local_log_id,47
2412,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/logger_thread_safe_level.rb,15,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/logger_thread_safe_level.rb,18,ActiveSupport::LoggerThreadSafeLevel#local_log_id,47
